region_id,region_name,state,population,households,population_density_km2,median_income_usd,education_index,urban_rural_flag,dsl_coverage_pct,avg_dsl_speed_mbps,competitor_fiber_presence,complaint_rate_pct,churn_rate_pct,broadband_adoption_pct,avg_monthly_data_gb,terrain_slope_deg,road_density_km_per_km2,existing_backhaul_distance_km
REG-001,Region 1,Indiana,105347.00,50881.00,471.95,49802.82,0.51,Rural,56.1,33.76,2,17.99,3.68,71.74,218.22,5.32,0.56,1.96
REG-002,Region 2,Indiana,117546.00,9720.00,215.84,85395.60,0.79,Urban,84.31,42.84,0,17.48,3,87.7,198.65,5.45,0.58,5.25
REG-003,Region 3,Indiana,93145.00,11681.00,451.64,60459.99,0.86,Urban,42.77,48.74,0,17.08,5.58,71.1,157.78,11.1,1.9,6.37
REG-004,Region 4,Indiana,77709.00,45908.00,762.94,86600.27,0.41,Rural,64.8,43.68,2,18.04,6.19,65.38,314.29,7.31,1.6,6.81
REG-005,Region 5,Indiana,101688.00,55056.00,503.15,41937.07,0.43,Rural,54.39,43.94,3,6.68,3.92,74.47,246.75,6.83,1.34,2.01
REG-006,Region 6,Indiana,133510.00,42999.00,488.45,67554.42,0.44,Rural,42.25,26.67,3,8.74,5.89,54.96,166.5,11.29,1.32,8.09
REG-007,Region 7,Indiana,27734.00,59111.00,516.3,65065.17,0.81,Urban,50.8,17.62,3,2.46,9.75,59.43,252.23,9.12,1.61,3.35
REG-008,Region 8,Indiana,102211.00,15844.00,72.77,69073.58,0.83,Rural,43.5,31.83,1,4.07,5.25,56.42,343.9,10.96,2.31,1.39
REG-009,Region 9,Indiana,147507.00,15587.00,619.39,40794.97,0.52,Urban,56.31,38.35,3,3.66,7.96,55.62,265.7,6.25,2.53,3.49
REG-010,Region 10,Indiana,21336.00,53929.00,563.61,84787.62,0.76,Rural,89.63,44.01,1,13.94,5.75,83,281.25,1.63,2.35,9.51
REG-011,Region 11,Indiana,32872.00,11532.00,335.19,69599.88,0.74,Urban,51.13,32.33,3,14.5,6.7,58.79,347.15,7.23,2.35,5.4
REG-012,Region 12,Indiana,130109.00,32071.00,540.21,69779.53,0.64,Rural,53.76,47.3,3,8.38,7.43,59.78,454.79,7.72,2.13,8.51
REG-013,Region 13,Indiana,105736.00,38976.00,585.9,68092.59,0.79,Urban,70.6,34.77,1,7.25,4.67,77.55,483.92,1.12,1.18,5.85
REG-014,Region 14,Indiana,29480.00,46132.00,513.74,45264.80,0.68,Urban,81.74,19.67,3,3.25,4.81,61.75,275.97,10.48,1.12,8.57
REG-015,Region 15,Indiana,53650.00,52988.00,744.42,76779.85,0.77,Rural,53.5,43.25,0,10.63,3.82,57.28,305.42,3.71,2.1,7.74
REG-016,Region 16,Indiana,60164.00,13047.00,292.81,89519.15,0.46,Urban,81.01,19.66,0,3.08,4.26,50.95,404.26,0.65,2.36,5.79
REG-017,Region 17,Indiana,125914.00,16038.00,404.74,40078.10,0.8,Rural,54.62,35.96,0,10.49,3.82,78.99,488.58,6.39,0.54,7.96
REG-018,Region 18,Indiana,59991.00,11342.00,508.01,45136.87,0.51,Rural,64.19,39.46,1,12.56,8.59,53.18,205.99,5.84,2.87,6.42
REG-019,Region 19,Indiana,59862.00,46021.00,304.55,46186.79,0.53,Rural,64.17,31.02,3,16.76,6.84,52,162.87,9.4,1.46,6.48
REG-020,Region 20,Indiana,109949.00,15331.00,133.23,85440.77,0.64,Urban,68.58,32.22,3,16.03,7.81,71.3,324.03,11.35,1.34,2.3
REG-021,Region 21,Indiana,81916.00,28089.00,599.48,80784.80,0.89,Urban,78.95,26.37,0,17.85,5.69,71.85,177.56,11.33,1.1,6.95
REG-022,Region 22,Indiana,81435.00,5530.00,151.88,42771.47,0.57,Urban,81.69,38.45,2,9.37,7.43,56.76,309.44,6.85,2.63,4.58
REG-023,Region 23,Indiana,55740.00,10083.00,730.49,71605.38,0.85,Urban,60.49,24.9,1,6.12,5.99,54.2,264.97,7.81,0.98,6.15
REG-024,Region 24,Indiana,70657.00,7938.00,766.03,87403.36,0.76,Rural,43.62,45.96,2,11.59,9.94,61.69,460.52,6.23,2.12,9.5
REG-025,Region 25,Indiana,85911.00,31391.00,597.85,64024.39,0.53,Urban,59.06,39.11,2,7.34,6.55,57.17,471.84,8.37,2.85,1.65
REG-026,Region 26,Indiana,140841.00,53160.00,503.04,78931.01,0.62,Urban,83.91,21.24,3,8.2,4.17,77.16,277.12,3.51,2.79,6.85
REG-027,Region 27,Indiana,48646.00,23711.00,557.89,44794.99,0.47,Urban,86.74,30.82,2,13.07,3.18,54.58,194.79,5.96,1.66,4.55
REG-028,Region 28,Indiana,115142.00,42992.00,175.2,55010.34,0.74,Rural,87.83,48.32,2,8.09,3.26,71.24,462.13,4.25,2.4,4.54
REG-029,Region 29,Indiana,28551.00,45466.00,286.24,40081.02,0.58,Rural,57.4,16.16,0,14.97,3.2,61.79,254.75,7.03,2.81,5.92
REG-030,Region 30,Indiana,103283.00,15161.00,591.26,62793.48,0.76,Urban,87.74,30.16,3,16.39,9.95,60.64,199.04,7.2,0.79,7.85
REG-031,Region 31,Indiana,134303.00,56303.00,181.94,88666.26,0.69,Urban,41.47,29.25,0,7.55,9.25,88.94,196.72,4.07,2.73,5.4
REG-032,Region 32,Indiana,134615.00,20033.00,365.74,84218.16,0.77,Urban,52.58,12.17,2,14.29,6.48,52.05,356.02,9,1.32,7.12
REG-033,Region 33,Indiana,24763.00,26794.00,137.38,48163.60,0.54,Rural,43.36,21.96,2,16.67,6.52,70.71,347.25,7.17,2.36,6.66
REG-034,Region 34,Indiana,71010.00,51976.00,744.09,67373.97,0.5,Rural,59.28,39.04,1,10.19,7.21,51.42,388.83,4.4,2.91,7.24
REG-035,Region 35,Indiana,49032.00,26107.00,716.07,51453.27,0.78,Urban,70.02,37.79,1,12.68,6.6,63.12,311.32,10.48,1.69,9.81
REG-036,Region 36,Indiana,99663.00,33427.00,493.79,51236.55,0.53,Rural,87.08,32.82,1,17.26,9.07,51.18,472.9,6.28,2.18,6.83
REG-037,Region 37,Indiana,66678.00,41468.00,55.99,47495.38,0.8,Rural,47.99,16.69,0,8.34,7.36,54.9,405.79,6.02,1.15,4.63
REG-038,Region 38,Indiana,29182.00,5075.00,229.39,67625.42,0.69,Rural,75,18.69,2,5.52,4.26,79,464.4,4.85,0.66,2.32
REG-039,Region 39,Indiana,33448.00,43033.00,291.28,84666.38,0.77,Rural,65.22,17.87,0,15.48,4.9,70.11,339.96,6.99,2.76,7.75
REG-040,Region 40,Indiana,15076.00,37321.00,696.19,71448.45,0.7,Rural,73.5,45.01,0,6.56,4.54,50.39,336.72,5.27,1.6,3.29
REG-041,Region 41,Indiana,75144.00,33296.00,537.27,40362.03,0.59,Urban,67.28,34.57,0,8.48,8.78,67.35,282.15,8.31,1.25,1.33
REG-042,Region 42,Indiana,32061.00,35781.00,636.54,81088.68,0.87,Urban,85.14,23.73,3,6.08,4.92,80.84,230.31,6.07,0.9,8.15
REG-043,Region 43,Indiana,73015.00,35537.00,486.53,70344.89,0.64,Urban,56.2,21.37,2,7.48,4.15,89.81,170.99,0.72,1.03,2.22
REG-044,Region 44,Indiana,120606.00,13159.00,357.86,75058.35,0.48,Urban,71.66,12.46,0,14.31,7.93,63.07,408.57,1.86,0.84,2.22
REG-045,Region 45,Indiana,93597.00,42510.00,341.69,63226.30,0.54,Rural,57.27,31.08,3,6.01,8.41,53.63,417.4,4.86,1.42,7.44
REG-046,Region 46,Indiana,149881.00,14685.00,518.14,65109.93,0.41,Rural,68.01,16.62,1,12.37,3.29,53.33,410.93,8.39,1.73,2.88
REG-047,Region 47,Indiana,107855.00,49742.00,771.41,67159.12,0.87,Urban,75.7,27.72,2,12.38,7.06,81.75,241.9,8.37,2.41,9.57
REG-048,Region 48,Indiana,68273.00,50665.00,99.95,51084.84,0.65,Urban,85.93,13.07,3,3.51,9.39,66.16,208.21,9.15,1.42,6.99
REG-049,Region 49,Indiana,69819.00,36122.00,231.13,40972.76,0.56,Urban,88.88,44.68,2,5.56,8.01,77.92,390.48,4.26,2.79,2.2
REG-050,Region 50,Indiana,68838.00,57583.00,243.4,44658.85,0.85,Rural,42.3,38.98,2,11.44,5.51,74.08,364.4,3.53,2.19,6.66
REG-051,Region 51,Indiana,24974.00,45936.00,511.07,87601.32,0.49,Urban,56.48,29.08,3,6.73,8.75,83.45,274.17,8.78,2.56,4.32
REG-052,Region 52,Indiana,14394.00,11214.00,633.75,60775.36,0.89,Rural,83.11,27.06,2,7.24,6.49,50.79,475.05,11.28,2.32,2.76
REG-053,Region 53,Indiana,20889.00,28299.00,202.78,83262.77,0.87,Rural,77.04,11.1,2,4.74,8.9,71.05,305.97,6.43,0.69,1.81
REG-054,Region 54,Indiana,134299.00,32200.00,738.37,89074.56,0.56,Rural,57.38,25.85,1,7.89,3.56,74.35,423.76,3.69,1.72,7.62
