region_id,region_name,state,population,households,population_density_km2,median_income_usd,education_index,urban_rural_flag,dsl_coverage_pct,fiber_coverage_pct,avg_dsl_speed_mbps,avg_fiber_speed_mbps,competitor_fiber_presence,complaint_rate_pct,churn_rate_pct,broadband_adoption_pct,avg_monthly_data_gb,terrain_slope_deg,road_density_km_per_km2,existing_backhaul_distance_km,capex_per_premise_usd,take_rate_predicted_pct,roi_index,priority_rank,phase
REG-001,Region 1,Indiana,47560,13401,121.287157492011,75118.32886367866,0.45610221475533846,Urban,51.09464537533958,33.70301001989405,45.359346965972904,910.5871998016139,2,3.5201944993153953,7.671855329766419,74.33766360925453,263.2169810165749,1.354490632159636,0.8299978617518775,1.8733655945500565,525.5931301313457,134.743008832387,256.36371768922237,106,
REG-002,Region 2,Indiana,94245,19903,157.07351844430016,59815.52782479179,0.7888380956487336,Urban,75.0082037136242,35.09289094731172,10.63511775894594,465.89511592653696,2,5.030216499980571,4.292430904177904,76.68871779346225,290.79812436644323,2.60597845098044,0.5272507237717143,2.4070531065182177,545.0260932299983,125.88359071241143,230.96800735976726,779,
REG-003,Region 3,Indiana,133983,23119,158.3537704260953,50887.96628936188,0.5824165155610694,Rural,68.65239900947655,38.23920433614413,10.803056215910969,908.2006537309537,1,18.96969427676251,6.216540079628969,74.42221295333151,416.2720703718218,8.127478284149046,1.2950755244483996,2.536422462830214,588.996340241982,110.26822772327094,187.21377399046074,2871,
REG-004,Region 4,Indiana,23826,27944,245.07542578390064,74168.58139841234,0.48428927877523115,Urban,46.30035768890661,27.380877776525015,30.062203761396056,381.7108028091142,1,8.009051914661285,5.849873423795414,74.43669789963731,403.8168956478223,9.264174299892092,2.9732395596235865,3.504542294519991,596.0050777721425,130.67704916747715,219.2549259075877,1408,
REG-005,Region 5,Indiana,99846,51167,229.4433988029757,51261.83262661318,0.8126651064387478,Urban,69.8314153187623,18.885182301705342,39.694021911186226,403.8670996636833,0,16.638328023921556,9.082232351565168,80.88238785842384,481.77162677012745,2.4489871780598804,1.7234031250536463,1.6564939028901704,530.292344721855,112.32025389416934,211.808175268083,1832,
REG-006,Region 6,Indiana,106114,32611,485.80119658869984,46732.16954654982,0.45167452299898186,Urban,80.43628864752571,22.015754180351014,28.09493577477963,947.1758856253003,1,14.911447749095958,3.731871788676531,53.716945118990274,150.07493901582845,2.0546797557802643,1.821068369356915,9.659412552781514,526.0380795811851,111.43692657399814,211.8419386344059,1829,
REG-007,Region 7,Indiana,75336,17300,508.3797616494488,65384.82810405036,0.675832254771636,Rural,60.067050993368895,13.374081716491858,45.68990012561957,482.541112736297,0,12.595319793151866,4.355311478535083,71.87050333441668,330.8860794526197,3.5531061659967302,1.0859473109570366,7.9102796956100345,544.7396115583847,122.61615821750368,225.0913199918119,1080,
REG-008,Region 8,Indiana,118556,42446,279.144903405532,60219.76472862082,0.609258152121522,Urban,86.49176018571559,35.61036535841665,46.82144382646568,826.6372611213823,0,9.28084849149745,7.6907987943177885,79.24507327736819,396.65781110983636,11.597412269278518,0.5188208187546144,5.256773437077283,635.248599811888,122.68520357111245,193.1294356373905,2711,
REG-009,Region 9,Indiana,114316,13384,442.23808649661777,69617.29904959435,0.5474299366524451,Rural,85.00970628880022,27.80546060458263,46.92334797376493,662.8950171313176,2,8.746780225323144,5.3647599567502215,60.98511978877044,260.2887057438685,11.823474248331106,1.4676076810949836,1.0090739486883378,625.0485525558632,127.81122534453866,204.48207554742817,2232,
REG-010,Region 10,Indiana,90481,30617,536.0255579215055,56367.53142401785,0.7510358267441508,Urban,42.29032073314612,28.333802847385268,47.30444436299226,518.022144041006,3,10.943231758468244,7.08749372870813,69.59687458513942,371.2839954949338,7.153558400634515,1.0591898108654003,8.919709301396741,580.9767624404822,119.42918030523433,205.56619132846848,2168,
REG-011,Region 11,Indiana,138802,44503,382.014267421284,57583.76161352972,0.6802396352111286,Rural,65.77737245470229,39.36446438302039,25.420773134859843,528.2572373977574,2,13.389838544612967,4.608082746443278,64.66416478526081,441.9059082455068,2.180150194850495,2.50922069345642,9.83630907641292,525.78680305258,118.08000997107449,224.5777362336464,1108,
REG-012,Region 12,Indiana,77163,31846,392.3810170077246,85090.0831727488,0.47121679500494595,Urban,58.40735633999361,18.493459260374056,21.517803320596656,490.7498953197343,1,16.642705639393736,4.889706578685548,57.987790837979325,461.5815073080109,4.47001794742765,1.5494915157742344,3.1203309035813747,551.1539095516582,129.2308770748594,234.47330198561698,644,
REG-013,Region 13,Indiana,51505,24749,712.7722014996334,56234.3185215846,0.8001399911916651,Urban,87.15766003593892,12.753236730675804,34.42378506503418,406.2642876851985,2,8.031485283655464,5.665827068285152,78.19569743021482,255.6809903590291,6.343287338749143,0.9647125009842787,7.2590242543960555,573.7986559287119,121.69197103386793,212.0813107115169,1818,
REG-014,Region 14,Indiana,25388,41690,571.4228291360653,87739.52953008203,0.416673253345834,Urban,78.91754803847877,29.944700653212895,27.490808517340838,617.8819750035301,3,8.377212777044369,3.530091031456549,61.78909827050248,410.6763625853783,9.130608770308813,0.988382708153538,1.0180337254790603,601.423626099406,137.1679945434055,228.07217507071095,925,
REG-015,Region 15,Indiana,122572,53895,663.1453271358702,72088.85591287844,0.5201827175164548,Urban,50.38184605593128,8.55074447151916,48.13479309704719,702.4921814257241,1,6.72057725682309,8.690682475865302,87.85341780894231,466.988156013749,8.835765053695482,2.510428072559942,2.9893546813326823,592.3410349283677,130.66796615098076,220.59583659737933,1334,
REG-016,Region 16,Indiana,42522,24588,672.7710115511161,59882.190272091924,0.5479259085347019,Urban,58.454351758145656,30.57281105438436,25.85089176597092,900.6267084471468,2,5.616690686726239,6.9087280568624525,78.4690899366827,392.4973118218215,0.39689420690172517,1.1814567936185973,7.595159403859969,512.4330687759887,125.44774258666497,244.80805441833172,315,
REG-017,Region 17,Indiana,15775,42217,684.7883722156358,41299.19323888827,0.4299726729446869,Urban,89.31354335602319,34.99374933844559,11.927979251034944,376.74838734311834,0,8.176045206613308,5.1566003197873265,87.17451318523112,210.54686273861628,8.768295192946722,1.0717739450569461,5.136687317486457,597.0132776442509,114.1087604541535,191.13270127661846,2767,
REG-018,Region 18,Indiana,123690,26933,412.9733092393903,88183.365159589,0.874428819631824,Rural,61.50568287592067,19.96589615040965,39.82010466659639,424.21283031449957,2,6.093740372630495,8.04268075441376,54.40437001601768,227.74670719300576,6.605065514783748,2.0684739715614597,6.263182719660631,570.885137059375,139.2166902816901,243.86112239459274,334,
